Codigo;Descripcion_ES;Descripcion_EU
101100;EXPLOTACION EXTENSIVA DE GANADO BOVINO;BETABEREEN USTIAPEN ESTENSIBOA 
101200;EXPLOTACION INTENSIVA DE GANADO BOVINO DE LECHE;ESNETARAKO BETABEREEN USTIAPEN SARRIA 
101300;EXPLOTACION INTENSIVA DE GANADO BOVINO DE CEBO;GIZENTZEKO BETABEREEN USTIAPEN SARRIA 
102100;EXPLOTACION EXTENSIVA DE GANADO OVINO;ARDI-ABEREEN USTIAPEN ESTENSIBOA 
102200;EXPLOTACION INTENSIVA DE GANADO OVINO DE CRIA;HAZKUNTZARAKO ARDI-ABEREEN USTIAPEN SARRIA 
102300;EXPLOTACION INTENSIVA DE GANADO OVINO DE CEBO;GIZENTZEKO ARDI-ABEREEN USTIAPEN SARRIA 
1024000;EXPLOTACION DE GANADO CAPRINO (EXTENSIVAS Y OTRAS);AHUNTZ ABEREEN USTIAPENA (ESTENTSIBOAK ETA BESTE BATZUK)
1024001;EXPLOTACION DE GANADO CAPRINO (INTENSIVA DE LECHE);AHUNTZ ABEREEN USTIAPENA (INTENTSIBOA, ESNEARENA)
1024002;EXPLOTACION DE GANADO CAPRINO (INTENSIVA DE CARNE);AHUNTZ GANADUAREN USTIAPENA (INTENTSIBOA, HARAGIARENA)
103100;EXPLOTACION EXTENSIVA DE GANADO PORCINO;TXERRI-ABEREEN USTIAPEN ESTENSIBOA 
103200;EXPLOTACION INTENSIVA DE GANADO PORCINO DE CRIA;HAZKUNTZARAKO TXERRI-ABEREEN USTIAPEN SARRIA 
103300;EXPLOTACION INTENSIVA DE GANADO PORCINO DE CEBO;GIZENTZEKO TXERRI-ABEREEN USTIAPEN SARRIA 
104110;REPRODUCTORAS DE PUESTA;ERRUN ETA UGALKETARAKOAK 
1041200;PONEDORAS DE HUEVOS A PARTIR DE LOS CUATRO MESES DE EDAD (INTENSIVA);LAU HILABETETIK GORAKO ARRAUTZA-ERRULEAK (INTENTSIBOA)
1041201;PONEDORAS DE HUEVOS A PARTIR DE LOS CUATRO MESES DE EDAD (EXTENSIVA);LAU HILABETETIK GORAKO ARRAUTZA-ERRULEAK (ESTENTSIBOA)
104210;REPRODUCTORAS DE CARNE;OKELA ETA UGALKETARAKOAK 
104220;POLLOS Y PATOS PARA CARNE;OKELATARAKO OILASKO ETA AHATEAK 
104230;PAVOS, FAISANES Y PALMIPEDAS REPRODUCTORAS;UGALKETARAKO INDIOILO-OILAR, FAISAI ETA PALMIPEDIAK 
104240;PAVOS, FAISANES Y PALMIPEDAS PARA CARNE;OKELATARAKO INDIOILO-OILAR, FAISAI ETA PALMIPEDOAK 
104250;CODORNICES PARA CARNE;OKELATARAKO GALEPERRAK 
105100;CUNICULTURA;UNTXIZANTZA 
106100;EXPLOTACIONES DE GANADO CABALLAR, MULAR Y ASNAL;ZALDI-, MANDO-, ETA ASTO-ABEREEN USTIAPENA 
106200;APICULTURA;ERLAZANTZA 
1069001;OTRAS EXPLOTACIONES GANADERAS (INTENSIVA DE GANADO BOVINO CRIA);BESTE GANADU-USTIAPEN BATZUK (INTENTSIBOA, BEHI GANADUA HAZTEKOA)
1069002;OTRAS EXPLOTACIONES GANADERAS (INTENSIVA DE GANADO OVINO DE LECHE);BESTE GANADU-USTIAPEN BATZUK (INTENTSIBOA, ARDI GANADUA, ESNEARENA)
1069003;OTRAS EXPLOTACIONES GANADERAS (AVICULTURA DE CARNE, OTRAS ESPECIES);BESTE GANADU-USTIAPEN BATZUK (HARAGITARAKO HEGAZTIAK HAZTEA, BESTE ESPEZIE BATZUK)
107100;EXPLOTACIONES MIXTAS;USTIAPEN MISTOAK 
111110;EXTRACCION Y PREPARACION DE HULLA, EXCEPTO HULLA SUBBITUMINOSA;HARRIKATZAREN ERAUZKETA ETA PRESTAKETA, HARRIKATZ AZPIUITSUARENA EZIK 
111120;EXTRACCION Y PREPARACION DE HULLA SUBBITUMINOSA (LIGNITO NEGRO);HARRIKATZ AZPIUITSUAREN ERAUZKETA ETA PRESTAKETA (LIGNITO BELTZA). 
111130;PREPARACION DE HULLA EN FACTORIA INDEPENDIENTE O FUERA DEL PERIMETRO CONCESION;APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN HARRIKATZA PRESTATZEA 
111140;AGLOMERACION DE HULLA;HARRIKATZAREN AGLOMERAZIOA 
111210;EXTRACCION Y PREPARACION DE ANTRACITA;ANTRAZITAREN ERAUZKETA ETA PRESTAKETA 
111220;PREPARACION DE ANTRACITA EN FACTORIA INDEPENDIENTE O FUERA DEL PERIMETRO CONC.;APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN ANTRAZITA PRESTATZEA. 
111310;EXTRACCION Y PREPARACION DE LIGNITO PARDO;LIGNITO NABARRAREN ERAUZKETA ETA PRESTAKETA 
111320;PREPARACION DE LIGNITO PARDO EN FACTORIA INDEPENDIENTE O FUERA PERIMETRO CONC.;APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN ANTRAZITA PRESTATZEA. 
111400;FABRICACION DE COQUE;KOKEKINEN FABRIKAZIOA 
112110;TRABAJOS DE TESTIFICACION POR DIVERSOS PROCEDIMIENTOS, EN SONDEOS, DETERMINA..;ZUNDAPIDEZKO LEKUKOTZA-LANAK, OSAKETA ZEHARKATUEN EZAUGARRIEN ZEHAZTAPEN, ZUND 
112120;TRABAJOS PARA DESVIACION DE SONDEOS Y CIMENTACION DE POZOS, FRACT.O ACIDIFICA.;ZUNDAKETAK DESBIDERATU ETA PUTZUAK ZIMENDATZEKO LANAK, HAITZEN HAUSTURA EDO AZ 
112130;TRABAJOS DE TOMAS DE MEDIDA DE PRESION DE FONDO DE POZOS, APERTURA Y CIERRE DE;PUTZUETAKO SAKONERAREN PRESIOA HARTZEKO LANAK, BERAUEK EGITEKO BERAIEN IREKIER 
112190;OTRAS ACTIVIDADES RELACIONADAS CON LA PROSPECCION DE PETROLEO Y GAS NATURAL Y;PETROLIOAREN ETA IZADIKO GASAREN PROSPEKZIOAREKIN ZERIKUSIRIK DUTEN BESTE IHAR 
112210;EXTRACCION DE CRUDOS DE PETROLEO;PETROLIOAREN GORDINKINEN ERAUZKETA 
112220;DISTRIBUCION DE CRUDOS DE PETROLEO;PETROLIOAREN GORDINKINEN BANAKETA 
112310;EXTRACCION Y DEPURACION DE GAS NATURAL;IZADIKO GASAREN ERAUZKETA ETA ARAZKETA 
112320;DISTRIBUCION DE GAS NATURAL;IZADIKO GASAREN BANAKETA 
112400;EXTRACCION DE PIZARRAS BITUMINOSAS;HARBEL UITSUEN ERAUZKETA 
113000;REFINO DE PETROLEO;PETROLIOAREN BIRFINKETA 
114100;EXTRACCION Y PREPARACION DE MINERALES RADIACTIVOS;MEA ERRADIOAKTIBOEN ERAUZKETA ETA PRESTAKETA 
114200;PREPARACION DE MINERALES RADIACTIVOS EN FACTORIA INDEPENDIENTE FUERA DEL PERIM;APARTEKO EDO USTIATEGIAREN PERIMETROAZ LANDAKO LANTOKIAN MEA ERRADIO.PRESTAKUN 
114310;TRANSFORMACION DE MINERALES RADIACTIVOS;MEA ERRADIOAKTIBOEN TRANSFORMAZIOA 
114320;TRATAMIENTO DE RESIDUOS RADIACTIVOS;HONDAKIN ERRADIOAKTIBOEN TRATAMENDUA 
114330;ALMACENAMIENTO DE RESIDUOS RADIACTIVOS;HONDAKIN ERRAKIOAKTIBOEN BILTEGIRATZEA 
115110;PRODUCCION DE ENERGIA HIDROELECTRICA;ENERGIA HIDROELEKTRIKOAREN EKOIZPENA 
115120;PRODUCCION DE ENERGIA TERMOELECTRICA CONVENCIONAL;OHIZKO ENERGIA TERMOELEKTRIKOAREN EKOIZPENA 
115130;PRODUCCION DE ENERGIA ELECTRONUCLEAR;ENERGIA ELEKTRONUKLEARRAREN EKOIZPENA 
115140;PRODUCCION DE ENERGIA NO ESPECIFICADA EN LOS EPIGRAFES ANTERIORES, ABARCANDO;AURREKO EPIGRAFEETAN ZEHAZTU EZ DEN ENERGIAREN EKOIZPENA, EGUSKIARENA ETA ABAR 
115150;TRANSPORTE Y DISTRIBUCION DE LA ENERGIA ELECTRICA;ENERGIA ELEKTRIKOAREN GARRAIO ETA BANAKETA 
115160;COMERCIALIZACIÓN DE ENERGÍA ELÉCTRICA;ENERGIA ELEKTRIKOAREN MERKATURATZEA
115210;FABRICACION Y DISTRIBUCION DE GAS;GASAREN FABRIKAZIO ETA BANAKETA 
115220;COMERCIALIZACIÓN DE GAS;GASAREN MERKATURATZEA
115300;PRODUCCION Y DISTRIBUCION DE VAPOR Y AGUA CALIENTE;LURRIN ETA UR BEROAREN EKOIZPEN ETA BANAKETA 
116110;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA PARA NUCLEOS URBANOS.;HIRIGUNETARAKO URAREN HARRERA, TRATAMENDU ETA BANAKETA 
116120;CAPTACION DE AGUA PARA SU SUMINISTRO;URAREN HARRERA HORNIDURARAKO 
116130;TRATAMIENTO DE AGUA PARA SU SUMINISTRO;URAREN TRATAMENDUA HORNIDURARAKO 
116140;DISTRIBUCION DE AGUA PARA NUCLEOS URBANOS;URAREN BANAKETA HIRIGUNEETARAKO 
116200;FABRICACION DE HIELO PARA LA VENTA;SALMENTARAKO IZOTZAREN FABRIKAZIOA 
121110;EXTRACCION Y PREPARACION DE MINERALES FERREOS;BURDINA-MEEN ERAUZKETA ETA PRESTAKETA 
121120;PREPARACION DE MINERALES FERREOS EN FACTORIA INDEPENDIENTE O FUERA DEL PERIMET;APARTEKO EDO MEA-USTIATEGI EDO EMAKIDAREN PERIMETROAZ LANDAKO LANTOKIAN BURDI. 
121210;EXTRACCION Y PREPARACION DE MINERALES METALICOS NO FERREOS;BURDINAZKOAK EZ DIREN METALEZKO MEEN ERAUZKETA ETA PRESTAKETA 
121220;PREPARACION DE MINERALES METALICOS NO FERREOS EN FACTORIA INDEPENDIENTE O SITU;APARTEKO EDO MEA-USTIATEGI EDO EMAKIDAREN PERIMETROAZ LANDAKO LANTOKIAN BURDI. 
122100;SIDERURGIA INTEGRAL;BURDINAGINTZA INTEGRALA 
122200;SIDERURGIA NO INTEGRAL;BURDINAGINTZA EZ INTEGRALA 
122300;FABRICACION DE TUBOS DE ACERO;ALTZAIRUZKO TUTUEN FABRIKAZIOA 
122400;TREFILADO, ESTIRADO, PERFILADO, LAMINADO EN FRIO DEL ACERO;TALDEA. TREFILAKETA, TEINKAKETA, PROFILAKETA, ALTZAIRUAREN HOTZETAKO IJEZKETA 
122510;PRODUCCION Y PRIMERA TRANSFORMACION DEL ALUMINIO;ALUMINIOAREN EKOIZPEN ETA LEHEN TRANSFORMAZIOA 
122520;PRODUCCION Y PRIMERA TRANSFORMACION DEL COBRE;KOBREAREN EKOIZPEN ETA LEHEN TRANSFORMAZIOA 
122590;PRODUCCION Y PRIMERA TRANSFORMACION DE OTROS METALES NO FERREOS N.C.O.P.;BURDINAZKOAK EZ DIREN ETA BESTELAKO ATALETAN BILDU EZ DIREN METALEN EKOIZPEN. 
123110;EXTRACCION DE SUSTANCIAS ARCILLOSAS;BUZTINEZKO SUBSTANTZIEN ERAUZKETA 
123120;EXTRACCION DE ROCAS Y PIZARRAS PARA LA CONSTRUCCION;HAITZ ETA HARBELEN ERAUZKETA, ERAIKINTZARAKO 
123130;EXTRACCION DE ARENAS Y GRAVAS PARA LA CONSTRUCCION;AREA ETA LEGARREN ERAUZKETA, ERAIKINTZARAKO 
123140;EXTRACCION DE YESO;IGELTSUEN ERAUZKETA. 
123190;EXTRACCION DE OTROS MATERIALES DE CONSTRUCCION N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ERAIKINTZAKO MATERIALEN ERAUZKETA 
123210;EXTRACCION DE OPERATIONS POTASICAS;POTASIO GATZEN ERAUZKETA 
123220;EXTRACCION DE FOSFATOS Y NITRATOS;FOSFATO ETA NITRATOEN ERAUZKETA 
123310;EXTRACCION DE SAL MARINA;ITSASOKO GATZAREN ERAUZKETA 
123320;EXTRACCION DE SAL MANANTIAL Y SAL GEMA;URBEGIKO GATZAREN ETA GEMA GATZAREN ERAUZKETA 
123400;EXTRACCION DE PIRITAS Y AZUFRE;SUFRE PIRITEN ERAUZKETA 
123910;EXTRACCION DE FLUORITA;FLUORITAREN ERAUZKETA 
123920;EXTRACCION DE TURBA;ZOHIKATZAREN ERAUZKETA 
123990;EXTRACCION DE OTROS MINERALES NO METALICOS NI ENERGETICOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ETA EZ METALIK EZ ENERGIARIK DUTEN MEEN ERA. 
124100;FABRICACION DE PRODUCTOS TIERRAS COCIDAS PARA LA CONSTRUCCION (EXCEP.REFRA.);ERAIKINTZARAKO LUR EGOSIZKO EKOIZKINEN MATERIALEN FABRIKAZIOA (GAI ERREGOGORR. 
124210;FABRICACION DE CEMENTOS ARTIFICIALES;ZEMENTU ARTIFIZIALEN FABRIKAZIOA 
124220;FABRICACION DE CEMENTOS NATURALES;IZADIKO ZEMENTUEN FABRIKAZIOA 
124230;FABRICACION DE CALES Y YESO;IGELTSU KAREEN FABRIKAZIOA 
124310;FABRICACION DE HORMIGONES PREPARADOS;ORMIGOI PRESTATUEN FABRIKAZIOA 
124320;FABRICACION DE PRODUCTOS EN FIBROCEMENTO;FIBROZEMENTUZKO EKOIZKINEN FABRIKAZIOA 
124330;FABRICACION DE OTROS ARTICULOS DERIVADOS DEL CEMENTO, EXCEPTO PAVIMENTOS;ZEMENTUAREN BESTE EKOIZKIN ERATORRI BATZUREN FABRIKAZIOA, ZOLADURAK EZIK 
